TCGA	Pos	Group	Score	Name	Gene	Tissue
TCGA-A3-3347	0	WT	1878.13312	Thrombin	WT	kirc
TCGA-HW-A5KL	0	WT	-448.02642	Thrombin	WT	lgg
TCGA-B0-5088	0	WT	1490.93918	Thrombin	WT	kirc
TCGA-06-0211	0	WT	183.96364	Thrombin	WT	gbm
TCGA-EE-A3J5	0	WT	909.41551	Thrombin	WT	skcm
TCGA-CQ-6224	0	WT	814.99492	Thrombin	WT	hnsc
TCGA-AC-A23H	0	WT	-631.15011	Thrombin	WT	brca
TCGA-DU-6396	0	WT	1199.56747	Thrombin	WT	lgg
TCGA-EJ-7781	0	WT	175.65496	Thrombin	WT	prad
TCGA-EW-A1OV	0	WT	2247.54961	Thrombin	WT	brca
TCGA-HT-A618	0	WT	811.30476	Thrombin	WT	lgg
TCGA-50-6597	0	WT	1239.10843	Thrombin	WT	luad
TCGA-D8-A1JF	0	WT	9.64009	Thrombin	WT	brca
TCGA-CZ-5470	0	WT	1602.78420	Thrombin	WT	kirc
TCGA-FY-A3RA	0	WT	-707.21898	Thrombin	WT	thca
TCGA-55-6970	0	WT	2556.00138	Thrombin	WT	luad
TCGA-B0-4712	0	WT	1594.79817	Thrombin	WT	kirc
TCGA-AR-A24O	0	WT	603.01660	Thrombin	WT	brca
TCGA-PJ-A5Z9	0	WT	-466.49896	Thrombin	WT	kirp
TCGA-AH-6644	0	WT	-68.44928	Thrombin	WT	read
TCGA-BS-A0V7	0	WT	1183.59314	Thrombin	WT	ucec
TCGA-KN-8430	0	WT	-1288.87869	Thrombin	WT	kich
TCGA-D3-A2J7	0	WT	727.71628	Thrombin	WT	skcm
TCGA-BP-4341	0	WT	302.53329	Thrombin	WT	kirc
TCGA-L6-A4EU	0	WT	407.20033	Thrombin	WT	thca
TCGA-CJ-5671	0	WT	2066.08000	Thrombin	WT	kirc
TCGA-66-2771	0	WT	1937.26688	Thrombin	WT	lusc
TCGA-E2-A15O	0	WT	-534.69451	Thrombin	WT	brca
TCGA-DW-7839	0	WT	-1622.41341	Thrombin	WT	kirp
TCGA-CZ-4856	0	WT	1246.37616	Thrombin	WT	kirc
TCGA-QR-A70M	0	WT	-761.12558	Thrombin	WT	pcpg
TCGA-PA-A5YG	0	WT	532.08797	Thrombin	WT	acc
TCGA-P5-A5F1	0	WT	-312.72823	Thrombin	WT	lgg
TCGA-12-0616	0	WT	125.18428	Thrombin	WT	gbm
TCGA-86-7711	0	WT	1246.27225	Thrombin	WT	luad
TCGA-KL-8327	0	WT	-563.30757	Thrombin	WT	kich
TCGA-44-7661	0	WT	1668.27732	Thrombin	WT	luad
TCGA-LP-A4AX	0	WT	1471.42285	Thrombin	WT	cesc
TCGA-66-2800	0	WT	882.70155	Thrombin	WT	lusc
TCGA-D5-5540	0	WT	-572.98099	Thrombin	WT	coad
TCGA-DB-A4XB	0	WT	-862.83206	Thrombin	WT	lgg
TCGA-E9-A226	0	WT	-538.67041	Thrombin	WT	brca
TCGA-66-2783	0	WT	447.98900	Thrombin	WT	lusc
TCGA-HT-7474	0	WT	-1205.10222	Thrombin	WT	lgg
TCGA-18-3407	0	WT	291.63873	Thrombin	WT	lusc
TCGA-BH-A0B1	0	WT	-362.91599	Thrombin	WT	brca
TCGA-CH-5772	0	WT	-846.62775	Thrombin	WT	prad
TCGA-G4-6321	0	WT	337.42333	Thrombin	WT	coad
TCGA-FS-A4F9	0	WT	-491.83237	Thrombin	WT	skcm
TCGA-BC-A5W4	0	WT	-1012.20237	Thrombin	WT	lihc
TCGA-AN-A03Y	0	WT	-76.96825	Thrombin	WT	brca
TCGA-BP-5194	0	WT	881.57561	Thrombin	WT	kirc
TCGA-A3-3308	0	WT	804.10134	Thrombin	WT	kirc
TCGA-DD-A3A4	0	WT	-853.08472	Thrombin	WT	lihc
TCGA-EM-A22O	0	WT	-449.72544	Thrombin	WT	thca
TCGA-A6-6652	0	WT	-829.70375	Thrombin	WT	coad
TCGA-GF-A4EO	0	WT	2708.81213	Thrombin	WT	skcm
TCGA-C5-A1M9	0	WT	-258.30045	Thrombin	WT	cesc
TCGA-C4-A0F0	0	WT	267.76084	Thrombin	WT	blca
TCGA-BQ-7053	0	WT	-31.10184	Thrombin	WT	kirp
TCGA-QR-A70A	0	WT	-854.00418	Thrombin	WT	pcpg
TCGA-FD-A3SJ	0	WT	-591.26205	Thrombin	WT	blca
TCGA-E2-A158	0	WT	-777.86061	Thrombin	WT	brca
TCGA-FV-A495	0	WT	740.54667	Thrombin	WT	lihc
TCGA-EP-A12J	0	WT	-397.63388	Thrombin	WT	lihc
TCGA-GM-A2DL	0	WT	290.60417	Thrombin	WT	brca
TCGA-G2-A3VY	0	WT	-1372.78144	Thrombin	WT	blca
TCGA-A8-A09R	0	WT	547.00799	Thrombin	WT	brca
TCGA-C5-A7UC	0	WT	-602.89900	Thrombin	WT	cesc
TCGA-GM-A3NW	0	WT	-247.04928	Thrombin	WT	brca
TCGA-E2-A154	0	WT	-775.74520	Thrombin	WT	brca
TCGA-FV-A2QR	0	WT	1150.78766	Thrombin	WT	lihc
TCGA-05-5420	0	WT	2704.92922	Thrombin	WT	luad
TCGA-FE-A3PC	0	WT	4.03082	Thrombin	WT	thca
TCGA-A2-A0ES	0	WT	128.72790	Thrombin	WT	brca
TCGA-CL-4957	0	WT	-741.99337	Thrombin	WT	read
TCGA-DJ-A2PP	0	WT	-1230.22525	Thrombin	WT	thca
TCGA-CR-5250	0	WT	607.85910	Thrombin	WT	hnsc
TCGA-C8-A275	0	WT	1247.16646	Thrombin	WT	brca
TCGA-DJ-A2PW	0	WT	-2.60568	Thrombin	WT	thca
TCGA-BC-A3KG	0	WT	-577.98247	Thrombin	WT	lihc
TCGA-D8-A1XA	0	WT	-194.47223	Thrombin	WT	brca
TCGA-B0-5701	0	WT	1019.10271	Thrombin	WT	kirc
TCGA-ET-A3BT	0	WT	-310.72814	Thrombin	WT	thca
TCGA-BI-A0VS	0	WT	286.24338	Thrombin	WT	cesc
TCGA-EE-A3JH	0	WT	2912.80831	Thrombin	WT	skcm
TCGA-QR-A70O	0	WT	-1115.29307	Thrombin	WT	pcpg
TCGA-HT-7610	0	WT	-1274.83985	Thrombin	WT	lgg
TCGA-BC-A10S	0	WT	563.00347	Thrombin	WT	lihc
TCGA-H9-A6BX	0	WT	-252.27875	Thrombin	WT	prad
TCGA-75-6206	0	WT	649.06892	Thrombin	WT	luad
TCGA-A2-A04T	0	WT	531.87229	Thrombin	WT	brca
TCGA-22-4613	0	WT	974.47114	Thrombin	WT	lusc
TCGA-44-3398	0	WT	1896.58170	Thrombin	WT	luad
TCGA-DD-A4NQ	0	WT	101.74206	Thrombin	WT	lihc
TCGA-D8-A1XV	0	WT	-866.76708	Thrombin	WT	brca
TCGA-CM-6675	0	WT	-596.47164	Thrombin	WT	coad
TCGA-AS-3778	0	WT	705.13479	Thrombin	WT	kirc
TCGA-AR-A0U0	0	WT	1217.69423	Thrombin	WT	brca
TCGA-28-5218	0	WT	1240.17452	Thrombin	WT	gbm
TCGA-S7-A7WW	0	WT	-295.08845	Thrombin	WT	pcpg
TCGA-HC-8257	0	WT	-882.70378	Thrombin	WT	prad
TCGA-GM-A3XL	0	WT	830.42775	Thrombin	WT	brca
TCGA-66-2756	0	WT	-260.28366	Thrombin	WT	lusc
TCGA-CR-6492	0	WT	429.55004	Thrombin	WT	hnsc
TCGA-AK-3456	0	WT	400.57563	Thrombin	WT	kirc
TCGA-EJ-5504	0	WT	-834.34623	Thrombin	WT	prad
TCGA-C5-A7UE	0	WT	-76.15222	Thrombin	WT	cesc
TCGA-HT-7470	0	WT	-952.03146	Thrombin	WT	lgg
TCGA-E2-A14U	0	WT	-681.81566	Thrombin	WT	brca
TCGA-14-1823	0	WT	1145.51009	Thrombin	WT	gbm
TCGA-AR-A1AY	0	WT	-533.20513	Thrombin	WT	brca
TCGA-DJ-A3UY	0	WT	121.89555	Thrombin	WT	thca
TCGA-D6-6516	0	WT	639.81856	Thrombin	WT	hnsc
TCGA-QR-A708	0	WT	-1271.72689	Thrombin	WT	pcpg
TCGA-EJ-5516	0	WT	-319.80062	Thrombin	WT	prad
TCGA-73-4659	0	WT	698.10382	Thrombin	WT	luad
TCGA-CV-7100	0	WT	611.32527	Thrombin	WT	hnsc
TCGA-AQ-A54N	0	WT	-462.15307	Thrombin	WT	brca
TCGA-EM-A1YE	0	WT	-994.92571	Thrombin	WT	thca
TCGA-HT-8110	0	WT	1092.11695	Thrombin	WT	lgg
TCGA-G3-A5SK	0	WT	420.81392	Thrombin	WT	lihc
TCGA-A2-A0CK	0	WT	122.45340	Thrombin	WT	brca
TCGA-B6-A401	0	WT	431.60949	Thrombin	WT	brca
TCGA-HC-7742	0	WT	-893.44971	Thrombin	WT	prad
TCGA-CV-7432	0	WT	10.20812	Thrombin	WT	hnsc
TCGA-DJ-A3VJ	0	WT	168.60323	Thrombin	WT	thca
TCGA-50-5946	0	WT	-559.22178	Thrombin	WT	luad
TCGA-CV-7238	0	WT	-276.10305	Thrombin	WT	hnsc
TCGA-GD-A2C5	0	WT	854.89059	Thrombin	WT	blca
TCGA-D5-6928	0	WT	2530.00846	Thrombin	WT	coad
TCGA-BL-A13J	0	WT	-519.27716	Thrombin	WT	blca
TCGA-A1-A0SJ	0	WT	-341.83283	Thrombin	WT	brca
TCGA-B0-5107	0	WT	1342.77962	Thrombin	WT	kirc
TCGA-CV-6954	0	WT	371.24569	Thrombin	WT	hnsc
TCGA-A2-A0SV	0	WT	721.39474	Thrombin	WT	brca
TCGA-BB-4224	0	WT	-339.22281	Thrombin	WT	hnsc
TCGA-E2-A1L8	0	WT	-103.90184	Thrombin	WT	brca
TCGA-FR-A44A	0	WT	2542.15395	Thrombin	WT	skcm
TCGA-FV-A3I1	0	WT	217.08464	Thrombin	WT	lihc
TCGA-K4-A3WV	0	WT	-1311.19836	Thrombin	WT	blca
TCGA-AX-A1C7	0	WT	-865.63325	Thrombin	WT	ucec
TCGA-HT-7620	0	WT	-653.45969	Thrombin	WT	lgg
TCGA-BP-5189	0	WT	1334.05762	Thrombin	WT	kirc
TCGA-CW-5588	0	WT	1289.98380	Thrombin	WT	kirc
TCGA-A3-3380	0	WT	727.31475	Thrombin	WT	kirc
TCGA-N9-A4Q8	0	WT	-1282.38546	Thrombin	WT	ucs
TCGA-F9-A4JJ	0	WT	112.40583	Thrombin	WT	kirp
TCGA-CR-7377	0	WT	1490.62342	Thrombin	WT	hnsc
TCGA-BQ-7045	0	WT	193.24254	Thrombin	WT	kirp
TCGA-BJ-A3PR	0	WT	1620.73802	Thrombin	WT	thca
TCGA-C5-A3HD	0	WT	-603.84333	Thrombin	WT	cesc
TCGA-GM-A2DK	0	WT	332.49536	Thrombin	WT	brca
TCGA-OR-A5JP	0	WT	-1109.08406	Thrombin	WT	acc
TCGA-C8-A12L	0	WT	-202.38612	Thrombin	WT	brca
TCGA-AR-A2LH	0	WT	1529.79759	Thrombin	WT	brca
TCGA-MP-A4T7	0	WT	760.08700	Thrombin	WT	luad
TCGA-D8-A1JP	0	WT	292.28429	Thrombin	WT	brca
TCGA-G9-6348	0	WT	-778.16159	Thrombin	WT	prad
TCGA-86-7954	0	WT	1723.87338	Thrombin	WT	luad
TCGA-CJ-4920	0	WT	799.92169	Thrombin	WT	kirc
TCGA-DD-A1EC	0	WT	1990.29377	Thrombin	WT	lihc
TCGA-BP-4989	0	WT	2665.22752	Thrombin	WT	kirc
TCGA-BH-A0HA	0	WT	578.82736	Thrombin	WT	brca
TCGA-D3-A51K	0	WT	748.66636	Thrombin	WT	skcm
TCGA-C5-A1M8	0	WT	-462.21912	Thrombin	WT	cesc
TCGA-IH-A3EA	0	WT	129.37577	Thrombin	WT	skcm
