TCGA	Tissue	ESTIMATE	Protein	CDH11	CDH1	CTNNB1	CD3E	CD8A
TCGA-78-7162	luad	1047.91461	0.103950129095939	10.9358	13.1217	12.8521	9.5309	8.6246
TCGA-BH-A0AV	brca	50.91455	-0.976143481	12.795	12.529	14.5051	6.3913	5.6153
TCGA-A2-A0YI	brca	1265.76175	0.41017308213215	11.355	14.0064	13.741	9.0944	9.383
TCGA-BH-A201	brca	-512.10301	0.768370099601561	12.0568	13.5538	13.7648	5.8975	6.4366
TCGA-44-4112	luad	626.50416	0.188132943354899	11.0733	12.7011	13.9535	7.9377	8.0708
TCGA-75-7027	luad	-73.12636	0.614902033538223	11.8468	13.8208	13.2407	7.311	7.0076
TCGA-27-1832	gbm	967.83989	0.47380689911927	9.9514	2.2057	12.9447	7.4314	6.5689
TCGA-B6-A0RN	brca	-681.25961	-1.115402554	12.9283	9.4136	13.5099	6.3864	6.2987
TCGA-DU-5851	lgg	-834.87963	0.200642257746549	9.7039	7.1738	12.8482	1.2324	4.6017
TCGA-CZ-5465	kirc	328.28780	0.25767386527735	9.4175	11.3724	12.7359	7.1409	6.7379
TCGA-B0-4822	kirc	1277.99132	-0.401415427821046	9.7793	10.2441	12.3233	9.3912	9.656
TCGA-EJ-5498	prad	-405.98978	0.226933460825471	10.0143	13.5032	13.3428	7.5004	7.8309
TCGA-C8-A134	brca	579.86873	-0.260873221497934	9.1961	14.1224	13.015	8.4168	7.857
TCGA-ER-A1A1	skcm	3006.65022	-0.412901587	9.3318	8.8146	12.6459	12.0752	9.1843
TCGA-G9-6367	prad	-920.36425	0.334491903536114	8.8219	14.0818	13.2491	7.4344	6.7197
TCGA-55-6712	luad	1724.55413	1.04539879754484	10.7926	14.0371	13.9318	10.0033	10.2819
TCGA-GU-A42R	blca	-1024.04981	0.5036621135	7.3468	14.4431	13.2032	4.6531	4.3817
TCGA-BH-A0BW	brca	1339.35134	-0.308371095	10.1709	14.8768	12.9703	8.7917	7.4321
TCGA-BP-5000	kirc	1418.09085	0.878462289124484	9.8052	10.887	12.3571	10.3474	10.0241
TCGA-CZ-5989	kirc	-532.74429	0.757235728457888	11.2287	13.1943	12.922	5.857	5.3683
TCGA-BT-A3PK	blca	477.63150	-3.03316738506561	9.6314	12.7786	13.7259	7.9881	6.663
TCGA-CE-A485	thca	282.17660	0.47550577936401	10.2938	13.6061	14.1314	7.7073	6.7715
TCGA-BP-4761	kirc	905.21792	-0.926788671044857	8.1377	10.505	11.1571	9.7447	9.7788
TCGA-EM-A2CR	thca	-168.12058	0.276933193062583	3.2849	11.8782	12.7567	6.0362	6.3601
TCGA-F5-6571	read	579.71659	-1.88589917497151	10.923	14.2921	13.559	8.4962	7.6733
TCGA-49-4501	luad	1166.91804	0.661193050695868	10.9871	14.2227	13.4704	9.3621	7.9818
TCGA-50-5051	luad	-204.87203	0.746742365271797	9.7034	12.3614	13.7313	7.3883	7.1495
TCGA-BH-A1F2	brca	-195.69873	-0.18272233976506	9.596	12.336	13.2902	6.3981	6.5031
TCGA-BP-5202	kirc	649.70671	0.015653376741516	9.449	10.485	12.9812	7.5128	7.3564
TCGA-EL-A3CO	thca	1165.58956	-0.882704803533694	9.8364	13.6086	13.4108	8.6465	8.4971
TCGA-22-5477	lusc	-226.88552	-1.48317817995498	8.966	13.7715	14.0616	7.6707	8.1594
TCGA-CQ-5330	hnsc	1343.10474	-0.254462246237187	11.0175	12.8619	12.9103	8.8785	8.5235
TCGA-CE-A3ME	thca	-369.64850	0.524654566805258	6.7638	13.8379	13.3049	7.3986	7.9361
TCGA-B8-4146	kirc	1141.96317	-0.00464973896270265	9.189	11.4859	12.5243	8.3077	9.6669
TCGA-D8-A27K	brca	310.29238	-1.91379139	11.7608	11.9823	13.6635	8.3166	7.9924
TCGA-B8-4622	kirc	1409.55808	0.127122418091153	10.1798	11.744	13.0444	8.532	8.2681
TCGA-EL-A3GV	thca	234.80782	0.618362442132004	10.2021	13.981	14.1761	7.8384	7.1424
TCGA-C8-A1HF	brca	939.73140	-0.5424326065	11.7012	12.3964	12.4206	9.4143	9.5864
TCGA-CN-4735	hnsc	1041.26162	-2.5361705808929	10.9028	12.1218	13.2435	8.367	7.817
TCGA-EW-A1IZ	brca	2031.78625	-1.59880852381801	9.9268	10.4473	12.2175	10.7912	11.0875
TCGA-EJ-5526	prad	-596.06136	0.0413895714812731	10.425	13.9512	13.2904	7.2808	7.1473
TCGA-E2-A1L7	brca	794.26269	0.0538865625763695	11.0664	12.2596	12.5228	9.4427	9.5267
TCGA-EE-A3J7	skcm	-720.41899	-0.508476178	6.2182	9.5244	13.8231	7.0224	8.0082
TCGA-CJ-5680	kirc	-307.77625	-0.0263287081736323	9.1899	11.3989	12.4977	6.9794	6.3185
TCGA-BH-A0B3	brca	771.52202	-0.565199106	9.5649	13.4546	13.5105	8.7937	8.7168
TCGA-BH-A0DS	brca	493.96635	-0.797817780406988	11.3393	11.9284	13.0202	8.0527	8.353
TCGA-BT-A2LB	blca	816.63477	0.546755651	9.8419	13.0912	13.9785	7.7116	7.2201
TCGA-06-5412	gbm	1554.20973	-0.548542752370701	11.4125	1.3728	13.2471	5.8638	5.7688
TCGA-EL-A3GS	thca	-526.54010	0.682113322981349	6.8233	14.4353	13.6151	5.8715	6.1212
TCGA-HI-7168	prad	-1186.96146	0.0360716336921103	10.2569	12.5578	13.0167	6.0032	5.7196
TCGA-DU-8164	lgg	-1502.90181	0.671698406432726	10.204	5.988	12.7705	1.081	3.6362
TCGA-CJ-4884	kirc	1629.40851	0.0318773231588441	9.7864	10.6962	12.5048	9.5557	10.1774
TCGA-EL-A4KG	thca	457.10273	0.431283876537228	9.9681	14.3068	13.4584	6.5739	5.4349
TCGA-EJ-7317	prad	-1316.65619	0.644022079469998	9.1313	14.1944	13.3587	5.9087	6.0626
TCGA-EM-A2CJ	thca	-1168.73047	0.676011035893381	5.0379	13.9937	12.7694	5.3179	6.5988
TCGA-B0-4846	kirc	1338.62622	0.194556390202977	10.026	11.8268	12.8284	9.2502	10.0552
TCGA-CV-5440	hnsc	-522.82056	-0.0315080653574915	12.1538	12.4891	12.8391	5.6998	4.9713
TCGA-B0-4814	kirc	313.10229	-0.749237933726229	10.1409	9.948	12.6655	8.0876	8.018
TCGA-CN-6022	hnsc	815.87456	0.172781030813546	12.0816	12.0044	13.5121	7.8308	5.4337
TCGA-BH-A1FM	brca	-472.24490	-0.00565419758599517	12.0768	13.7756	12.9993	5.1618	5.024
TCGA-EJ-7783	prad	-219.53806	0.355792858106786	10.4984	10.7224	13.5095	6.8961	7.2079
TCGA-E9-A22B	brca	-62.41063	0.0777602264999999	11.787	14.6928	13.2637	7.1352	7.3538
TCGA-E8-A418	thca	-0.30649	-0.480786669474421	6.4815	13.8572	13.3291	7.6349	6.7278
TCGA-E2-A10C	brca	686.16081	-0.963086529100718	10.6807	13.031	11.8278	9.5449	8.9114
TCGA-DK-A1AB	blca	509.17372	0.7510232295	11.3881	14.1263	12.7639	7.6727	6.6173
TCGA-A3-3347	kirc	1878.13312	-0.230229653045424	11.9834	11.4592	12.6559	9.1451	8.9755
TCGA-B0-5088	kirc	1490.93918	0.389244658236032	9.6306	10.6721	12.5859	9.6878	8.7515
TCGA-CQ-6224	hnsc	814.99492	0.10359244544442	12.084	11.7167	13.2925	8.1315	6.2729
TCGA-EJ-7781	prad	175.65496	0.609779380040034	10.2733	12.5981	13.3681	8.3746	8.4828
TCGA-DU-6396	lgg	1199.56747	0.594868159659405	11.5572	6.3313	12.5575	5.9729	5.5883
TCGA-EW-A1OV	brca	2247.54961	-1.5192985498798	11.281	8.7563	12.9482	10.9154	10.6368
TCGA-50-6597	luad	1239.10843	1.59107400696597	9.5836	13.7491	11.2842	10.4644	7.8037
TCGA-CZ-5470	kirc	1602.78420	0.505104116671671	9.5676	10.4914	12.1108	9.5792	10.2179
TCGA-D8-A1JF	brca	9.64009	-0.0241973135000002	11.8477	14.193	13.2009	7.6656	7.4696
TCGA-55-6970	luad	2556.00138	0.427318934764024	10.2394	11.9521	13.0932	8.8141	8.5305
TCGA-B0-4712	kirc	1594.79817	-0.254291177713459	6.1843	13.6556	12.6353	4.6855	4.5734
TCGA-AR-A24O	brca	603.01660	-0.406390249142644	12.1664	10.7439	13.9296	8.5458	8.427
TCGA-AH-6644	read	-68.44928	0.277953965833163	11.0127	14.051	14.3281	7.42	7.0898
TCGA-BS-A0V7	ucec	1183.59314	0.42399336	8.8304	9.2086	12.3446	9.9753	8.2291
TCGA-BP-4341	kirc	302.53329	-0.350974943510431	8.3943	9.0612	12.7286	7.8124	5.7296
TCGA-L6-A4EU	thca	407.20033	0.00369814972415972	11.0472	13.8202	13.3358	7.5958	6.5482
TCGA-CJ-5671	kirc	2066.08000	-0.689405165427436	11.0384	10.8494	13.0964	10.2156	9.2935
TCGA-E2-A15O	brca	-534.69451	-0.64541916273354	9.7036	12.9764	12.8964	7.281	7.2657
TCGA-CZ-4856	kirc	1246.37616	0.0882995208627417	9.7033	11.3553	13.4105	9.326	9.3584
TCGA-P5-A5F1	lgg	-312.72823	-0.196360052243547	10.0648	5.7024	12.6278	4.4148	4.6323
TCGA-86-7711	luad	1246.27225	-3.0015748119856	10.194	11.9201	11.9662	7.7439	7.9031
TCGA-44-7661	luad	1668.27732	-0.188964346258949	12.2213	13.7751	14.017	9.0251	8.0978
TCGA-66-2800	lusc	882.70155	0.313982231554341	10.4006	12.5275	13.671	7.7979	7.1552
TCGA-D5-5540	coad	-572.98099	1.87867224532902	8.2477	13.4867	14.333	5.7701	6.5916
TCGA-DB-A4XB	lgg	-862.83206	0.930450125081807	9.7577	8.5721	12.7281	3.4111	4.2225
TCGA-E9-A226	brca	-538.67041	-0.227127424	12.4018	13.8232	13.3117	5.8841	3.7006
TCGA-66-2783	lusc	447.98900	1.56113962970236	9.6376	13.3628	13.2136	8.0155	7.7362
TCGA-HT-7474	lgg	-1205.10222	0.820166835717798	9.8612	7.1783	12.6361	3.0184	5.0735
TCGA-CH-5772	prad	-846.62775	-0.224640730566839	7.6624	14.0631	13.0189	6.9113	6.6526
TCGA-BH-A0B1	brca	-362.91599	-0.276856291352463	11.4721	13.7168	13.7923	6.7688	6.3809
TCGA-G4-6321	coad	337.42333	0.547029810775382	6.7511	15.013	13.8081	8.8787	8.5716
TCGA-BP-5194	kirc	881.57561	-0.587771708578132	9.9319	9.8291	13.2599	8.2384	8.1364
TCGA-A3-3308	kirc	804.10134	0.0231610157193614	10.1917	10.178	13.1942	7.6413	7.601
TCGA-EM-A22O	thca	-449.72544	0.295956047451051	1.9713	13.6024	13.5607	6.9731	6.8567
TCGA-A6-6652	coad	-829.70375	1.5212504440787	8.6497	13.3876	14.2766	5.1915	4.9466
TCGA-C4-A0F0	blca	267.76084	-1.411636858	8.0469	6.0596	13.2394	7.1865	7.2255
TCGA-FD-A3SJ	blca	-591.26205	-1.6594064135	9.6886	13.8505	13.6134	6.3461	5.0082
TCGA-E2-A158	brca	-777.86061	0.733730551835846	10.0989	10.4691	13.1279	6.406	5.2909
TCGA-GM-A2DL	brca	290.60417	-0.6835310755	12.1235	11.8184	12.9885	6.7732	5.5162
TCGA-G2-A3VY	blca	-1372.78144	-0.159230763	6.2302	14.3009	12.0227	2.8847	5.9085
TCGA-A8-A09R	brca	547.00799	-0.626267395656932	13.4593	14.1438	13.6016	7.4761	7.7647
TCGA-E2-A154	brca	-775.74520	-0.00310254329994553	11.6314	13.1477	13.9516	3.5157	5.4345
TCGA-05-5420	luad	2704.92922	0.27732788666871	10.3548	11.2308	13.0022	10.1197	9.741
TCGA-FE-A3PC	thca	4.03082	0.708101235385717	7.4818	13.817	12.1531	7.1443	7.3705
TCGA-A2-A0ES	brca	128.72790	-0.745412177058377	11.1281	13.7047	13.854	8.3589	7.9759
TCGA-DJ-A2PP	thca	-1230.22525	0.759004023459114	4.7068	13.8921	13.6623	2.8636	3.7288
TCGA-C8-A275	brca	1247.16646	0.230206755929167	10.7865	13.7276	13.3321	9.3424	8.7783
TCGA-DJ-A2PW	thca	-2.60568	0.903038081401671	10.4178	13.9028	13.5305	6.9382	5.8466
TCGA-D8-A1XA	brca	-194.47223	-0.249262005990425	11.2863	14.1148	14.226	6.0424	5.4859
TCGA-B0-5701	kirc	1019.10271	0.654483846295139	10.7638	12.7439	12.9941	6.4519	5.8393
TCGA-ET-A3BT	thca	-310.72814	0.140997601542948	9.9586	13.8268	14.2005	6.6127	5.398
TCGA-EE-A3JH	skcm	2912.80831	-1.105358672	9.9093	12.3796	14.2575	11.5465	11.4452
TCGA-HT-7610	lgg	-1274.83985	0.00951095799620982	9.8458	7.6492	12.8899	1.7835	5.3634
TCGA-75-6206	luad	649.06892	0.805827232307074	10.4551	13.4869	13.5459	7.0155	6.6501
TCGA-A2-A04T	brca	531.87229	-0.404830017	9.3866	14.3961	12.8443	9.3301	8.6078
TCGA-44-3398	luad	1896.58170	0.401192334787717	12.1724	12.2128	14.2676	8.74	8.1523
TCGA-D8-A1XV	brca	-866.76708	-0.358667673127302	9.1359	13.4357	12.9132	4.3264	4.085
TCGA-CM-6675	coad	-596.47164	1.29573573917282	9.4237	13.8916	12.9542	6.44	6.1763
TCGA-AR-A0U0	brca	1217.69423	-0.159756579450761	9.6784	11.8876	14.0374	9.1864	9.4236
TCGA-GM-A3XL	brca	830.42775	-0.928738129	7.6416	12.6144	12.5346	9.0776	9.0683
TCGA-AK-3456	kirc	400.57563	-0.678680657497877	10.6056	12.0026	12.7853	6.8965	6.1834
TCGA-EJ-5504	prad	-834.34623	0.684879954781815	10.1211	14.209	13.2902	6.5672	6.2186
TCGA-HT-7470	lgg	-952.03146	0.743490835208966	10.4601	9.5672	12.8455	1.6996	5.0354
TCGA-14-1823	gbm	1145.51009	0.98265034955629	10.2358	6.0664	13.8563	5.9132	5.2098
TCGA-AR-A1AY	brca	-533.20513	0.6536473225	10.446	13.2106	13.4502	4.7595	5.1512
TCGA-DJ-A3UY	thca	121.89555	-0.627907674469466	9.9855	13.8056	13.4281	7.8113	6.9873
TCGA-D6-6516	hnsc	639.81856	-1.96998846936719	8.2329	13.9419	11.1718	9.0561	8.8818
TCGA-EJ-5516	prad	-319.80062	0.771219168403271	9.9398	14.2651	13.4408	6.9844	6.8202
TCGA-73-4659	luad	698.10382	0.38403551635406	11.1966	12.209	13.6912	6.7144	6.2933
TCGA-CV-7100	hnsc	611.32527	-1.60855902646815	9.7805	12.3712	12.4759	8.599	8.6778
TCGA-EM-A1YE	thca	-994.92571	1.13156057357577	6.255	14.6989	12.5339	5.3925	5.5678
TCGA-HT-8110	lgg	1092.11695	0.976454703840627	8.8956	8.6743	13.1907	5.7339	4.9134
TCGA-A2-A0CK	brca	122.45340	-2.1254545375	10.7524	9.5983	12.9078	8.5621	7.9321
TCGA-CV-7432	hnsc	10.20812	-1.28724506109236	9.6329	13.4466	12.8821	7.2485	7.3705
TCGA-DJ-A3VJ	thca	168.60323	0.787814108351219	9.3586	14.5125	13.5731	7.8912	7.7586
TCGA-50-5946	luad	-559.22178	-0.569604389587953	12.5102	13.5354	13.2349	8.8026	8.4179
TCGA-CV-7238	hnsc	-276.10305	0.663012579274608	8.4065	13.2637	13.3986	7.6095	7.577
TCGA-GD-A2C5	blca	854.89059	0.702600966	9.9175	15.1307	12.577	5.4656	3.5603
TCGA-D5-6928	coad	2530.00846	-0.247995387110691	10.8518	12.7903	13.453	10.5394	11.1207
TCGA-BL-A13J	blca	-519.27716	-0.2979416895	10.1653	14.0472	13.1158	6.3116	6.3116
TCGA-A1-A0SJ	brca	-341.83283	-0.8718442975	10.9066	15.8844	13.2274	7.5484	7.5112
TCGA-B0-5107	kirc	1342.77962	-0.438015803425333	7.5942	11.416	11.0795	10.1005	10.9051
TCGA-CV-6954	hnsc	371.24569	0.00333339610811356	10.0982	13.983	12.4789	7.7837	6.9824
TCGA-A2-A0SV	brca	721.39474	-0.418005895960608	11.4092	13.196	13.4208	7.5486	6.2122
TCGA-E2-A1L8	brca	-103.90184	-1.26811794846186	11.5368	10.6289	13.64	7.6285	7.5261
TCGA-K4-A3WV	blca	-1311.19836	-0.728438142	8.0044	13.2722	12.9052	7.8188	7.8255
TCGA-HT-7620	lgg	-653.45969	0.660813631727129	9.4241	7.9207	12.467	2.229	3.3901
TCGA-BP-5189	kirc	1334.05762	0.178797734145884	10.4925	10.4135	13.1117	8.5561	8.0697
TCGA-CW-5588	kirc	1289.98380	-0.12460607939982	10.8524	11.7791	13.4267	8.1897	8.2257
TCGA-A3-3380	kirc	727.31475	0.621928700741101	9.8521	11.1842	13.2922	8.3822	7.7357
TCGA-BJ-A3PR	thca	1620.73802	0.345941636666375	6.9353	13.371	12.001	10.0715	9.0316
TCGA-GM-A2DK	brca	332.49536	-1.011670411	10.1509	14.3753	12.2738	8.3527	7.4622
TCGA-C8-A12L	brca	-202.38612	-0.244823590326167	9.9215	14.6231	13.1247	6.9035	6.2058
TCGA-AR-A2LH	brca	1529.79759	-1.193015426	10.2017	10.6299	13.0719	10.1532	9.1438
TCGA-D8-A1JP	brca	292.28429	-0.0717151670000001	12.6815	12.4446	13.2783	7.9423	7.9507
TCGA-86-7954	luad	1723.87338	0.971452283030539	10.4644	13.9041	13.0445	9.3489	8.5377
TCGA-CJ-4920	kirc	799.92169	-0.366636666169507	10.4661	10.4156	12.9382	8.2224	7.0927
TCGA-BP-4989	kirc	2665.22752	-0.453574045490813	9.9366	10.3762	12.2451	11.2884	12.233
TCGA-BH-A0HA	brca	578.82736	-0.323183581626327	10.0053	13.5102	14.6645	8.5888	9.3221
TCGA-IH-A3EA	skcm	129.37577	0.1710020995	5.2084	11.9137	13.1548	6.8318	5.3209
TCGA-EE-A180	skcm	-409.75900	1.4859887485	8.1172	14.3392	15.5195	6.0996	6.4836
TCGA-EJ-8470	prad	672.48647	-1.04970568887976	8.8126	13.053	13.1991	9.3238	8.6873
TCGA-50-5930	luad	1919.73741	-1.14778674104816	11.2412	13.4182	13.345	9.1964	9.1193
TCGA-A8-A06N	brca	-956.22872	-0.117248550751289	4.823	14.1702	13.196	4.5817	5.7673
TCGA-DA-A1HW	skcm	1490.89940	0.314540896105355	7.359	13.4268	13.5725	10.0071	10.6687
TCGA-A2-A0T7	brca	-73.53045	-0.326534663938548	12.1101	14.2313	13.7208	7.6378	8.0004
TCGA-CA-5797	coad	-232.88977	1.16333478698966	9.9991	14.4696	13.7384	6.7573	6.844
TCGA-ER-A19W	skcm	2653.91315	-1.480812874	9.0585	10.9946	14.1855	11.0498	11.6509
TCGA-D3-A1Q6	skcm	-104.51115	-2.2144121395	8.4625	2.0782	12.6625	7.2082	6.6503
TCGA-F4-6704	coad	161.79938	-1.33892628690365	8.2938	13.8297	12.9189	7.865	6.4273
TCGA-BJ-A2N7	thca	-955.74305	0.493100062525595	7.7649	13.5446	13.5999	5.1068	6.1783
TCGA-CJ-4897	kirc	459.85195	0.433970013228122	9.7688	11.9751	13.1068	8.1245	8.4177
TCGA-E2-A15T	brca	-1000.29250	-0.193533548173749	9.1398	12.986	13.063	5.3739	6.533
TCGA-BP-4963	kirc	1450.76879	-0.0938234744936631	10.1835	10.8489	12.7955	8.6459	8.8466
TCGA-ER-A19G	skcm	1333.11713	0.2477454475	7.9908	13.6986	14.5176	8.8514	8.496
TCGA-AZ-4682	coad	-476.25570	1.29041419228599	8.6943	13.4963	13.3693	6.3227	5.4595
TCGA-GD-A3OS	blca	-615.97519	-1.9990291075	11.8865	8.9457	12.6309	6.6091	6.1124
TCGA-BA-5555	hnsc	102.29766	0.759757306653859	9.5899	14.1677	12.9123	7.5402	7.6182
TCGA-B8-5549	kirc	1075.51228	0.113095412118697	8.7412	11.5354	13.0597	9.1105	10.2506
TCGA-EW-A1P5	brca	512.97635	-0.551460944363798	10.1418	14.3927	13.1226	7.3231	6.5876
TCGA-CS-4943	lgg	-587.14763	0.479606992025385	10.3748	7.4841	13.0192	2.5585	2.71
TCGA-D8-A140	brca	169.18761	-0.184820508114507	10.4137	14.1826	13.2865	7.9557	8.2846
TCGA-EI-6917	read	945.72541	-0.00688198816338381	11.1828	12.9147	13.9627	8.3612	7.102
TCGA-CN-4726	hnsc	535.93125	-1.483361616312	10.5178	13.6669	12.7631	5.9378	5.398
TCGA-FC-A5OB	prad	-1443.31287	0.916058150444709	6.8447	13.1411	13.545	3.2441	2.7333
TCGA-BH-A18G	brca	-64.47350	0.353644894	11.2716	12.6438	12.5662	6.2479	6.3945
TCGA-E2-A1BD	brca	-464.54124	0.00609714865440647	11.2677	13.2419	12.8125	6.38	6.8485
TCGA-AN-A0XW	brca	1249.26965	-0.179391072886004	12.9458	13.6276	13.5445	9.4385	9.2169
