Region	domainXplorer	AdjNeo
ENSP00000297316-IDR-57-164	0.190449559827516	0.200245797928349
ENSP00000348478-IDR-80-173	0.00109018676949132	0.00242947595352117
ENSP00000348314-IDR-474-530	0.0135102064533864	0.0839200844553662
ENSP00000228347-PF00562-667-1041	0.301764311932068	0.159915852137527
ENSP00000344914-IDR-315-463	0.107114854823541	0.161857949288172
ENSP00000263062-PF06752-582-836	0.0236514243721768	0.178291048775424
ENSP00000299367-PF00092-254-452	0.00404891395666377	0.0322665742838584
ENSP00000321427-IDR-778-904	0.00416030291125093	0.0130472172131141
ENSP00000355500-IDR-889-1056	0.00251313971480003	0.00189048782156469
ENSP00000350882-PF00435-468-570	0.0681620149104005	0.118594672451705
ENSP00000352833-IDR-730-807	0.121303377481662	0.493472635286839
ENSP00000261191-IDR-502-706	0.133410353560724	0.133618733561556
ENSP00000297268-PF01391-91-149	0.0025718992941105	0.0169889527612504
ENSP00000328287-ND-276-466	0.272220127628147	0.210194605794546
ENSP00000414570-IDR-512-647	0.039785849127346	0.107497936806642
ENSP00000302716-IDR-4434-4462	0.00355525971299473	0.0193041780985655
ENSP00000340514-PF01352-4-44	0.136569126942868	0.0709997016316562
ENSP00000369716-IDR-1560-1783	0.0681474289750464	0.152050082938578
ENSP00000346359-ND-771-828	0.0296534263022065	0.0421956745920446
ENSP00000384672-IDR-633-683	0.0894821705153678	0.0799526289059078
ENSP00000261965-PF04130-251-763	0.694372052783949	0.868189263618046
ENSP00000357905-PF00431-1766-1874	0.0427464862687631	0.0833836632195506
ENSP00000289672-IDR-1029-1102	0.209509147267344	0.456833375896554
ENSP00000262419-ND-588-685	0.149001390610207	0.0497746985742199
ENSP00000264867-ND-1-114	0.150931631249883	0.142883773434554
ENSP00000382204-ND-1-247	0.474871548303314	0.353817088108669
ENSP00000357130-PF00018-984-1028	0.255508780111318	0.293609971070071
ENSP00000361290-PF01391-492-547	0.0621452390084947	0.0651304345425644
ENSP00000262442-PF08393-1290-1703	0.0482252161463635	0.123816233127489
ENSP00000339769-ND-360-509	0.00190268068619445	0.0062246172963301
ENSP00000365529-IDR-1112-1171	0.000575829891217364	0.0025173118275072
ENSP00000367888-IDR-53-383	0.288529244453299	0.474684152029271
ENSP00000172229-IDR-145-214	0.0314942836634407	0.0247763982673151
ENSP00000301336-IDR-307-401	0.000916382918930519	0.00187255627521987
ENSP00000407586-PF00009-45-162	0.000525638356849687	0.000327187134156174
ENSP00000371393-PF02879-228-333	0.0507334426765285	0.189285051162422
ENSP00000268704-PF07728-346-459	0.0724105718065597	0.145084679098251
ENSP00000349098-IDR-344-461	0.00372694054343917	0.00395345432149371
ENSP00000245908-ND-271-354	0.0267256848605831	0.0978126334095406
ENSP00000271588-PF00090-4647-4697	0.215140847548578	0.372861098883455
ENSP00000378752-IDR-508-589	0.0396504325195373	0.202506915049566
ENSP00000369889-PF00093-34-89	0.0773411518121719	0.0794306358318425
ENSP00000374309-PF00054-2514-2657	0.127849828384005	0.361005197029068
ENSP00000364464-IDR-665-725	7.62341059687437e-05	0.000147992887875638
ENSP00000003084-PF00664-84-350	0.0205895604410292	0.0987406770284278
ENSP00000284601-IDR-1017-1054	0.483588511101466	0.579914187459903
ENSP00000308938-PF09342-590-703	0.0183580574868303	0.0883057050416057
ENSP00000357073-PF07679-426-502	0.164560041653812	0.199535070999357
ENSP00000376708-PF00092-51-208	0.219418562901869	0.811224584910025
ENSP00000385607-PF00018-277-322	0.175985100950764	0.295266631339555
ENSP00000264867-IDR-1-156	0.293308438572707	0.278581755108378
ENSP00000371542-IDR-434-644	0.00434152338795751	0.00289840827069523
ENSP00000469958-PF00096-341-363	0.0736168259088184	0.0275760701545895
ENSP00000359382-IDR-609-660	0.0073816347091049	0.0129778897183809
ENSP00000348645-PF07679-330-415	0.0913988541645385	0.0454738113826334
ENSP00000237172-IDR-147-255	1.81503866630339e-05	0.00013254156228426
ENSP00000358001-ND-2461-2552	0.000536622683349259	0.00319963145570514
ENSP00000261858-PF06662-416-607	0.0618891662294152	0.0861436268413016
ENSP00000371548-PF03736-360-402	0.0998719637828958	0.0470015250869629
ENSP00000391529-ND-57-403	0.064661910423152	0.101912568651974
ENSP00000357905-PF00530-996-1093	0.0133439593363602	0.039410004967549
ENSP00000411096-ND-3027-3219	0.0757993564138867	0.197989802833265
ENSP00000351922-IDR-122-480	0.00393068434968163	0.0326917627517407
ENSP00000304945-PF07679-32-123	0.00560279180188029	0.0234888106345725
ENSP00000322716-IDR-66-195	0.0616755851009557	0.061251657276982
ENSP00000421191-PF00041-807-888	0.00377581450314561	0.0135814992060284
ENSP00000258111-IDR-97-152	0.976763802737254	0.862555003401716
ENSP00000385607-PF07653-276-328	0.175985100950764	0.295266631339555
ENSP00000301656-IDR-415-459	0.00289302491605123	0.0053360295159233
ENSP00000388787-IDR-109-200	0.00385827197932022	0.0023447226101959
ENSP00000443204-PF00168-5-89	0.00615188864014261	0.00434491678944239
ENSP00000403208-IDR-923-1015	0.380402519349098	0.49250065506711
ENSP00000351163-PF01391-1441-1499	0.100343602877679	0.0174790763251218
ENSP00000337459-PF00595-18-94	0.292932124723145	0.268699584201611
ENSP00000424725-IDR-507-597	0.0716367803075439	0.126918304577204
ENSP00000352572-IDR-1635-1758	0.0991041176590824	0.159587677626174
ENSP00000382241-IDR-1063-1166	0.0448575888228552	0.0181411991210103
ENSP00000441398-PF01532-231-609	0.0295139458924892	0.0467105799614663
ENSP00000307197-IDR-186-309	7.60362271898863e-05	8.46153110698265e-05
ENSP00000267807-IDR-535-633	0.0856273775146408	0.0530526327319544
ENSP00000455908-IDR-1-102	0.00633004485796464	0.00152217293534832
ENSP00000266505-PF00388-157-300	0.00272126787739627	0.0100697430976164
ENSP00000439689-IDR-240-428	0.225245180754039	0.431838491927478
ENSP00000358001-IDR-2486-2563	0.000306072796558082	0.0015168027382798
ENSP00000357130-PF07653-984-1032	0.378507124911478	0.398780092029894
